vendor_count,is_chain,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,engagement_duration,tot_value_cui,preferred_order_day,preferred_order_hour,age_category
3.0,3.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,3.6,0.0,0.0,11.0,8.02,2.0,16.0,26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.36,3.0,12.0,26
2.0,1.0,48.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0,0.0,0.0,12.0,56.42,4.0,16.0,26
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.66,0.0,0.0,0.0,0.0,0.0,12.0,22.66,4.0,7.0,26
2.0,0.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,0.0,0.0,0.0,0.0,0.0,12.0,32.09,4.0,16.0,26
3.0,2.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,7.01,0.0,0.0,0.0,0.0,12.0,14.23,3.0,11.0,42
2.0,2.0,35.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.82,4.0,15.0,42
2.0,3.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59,0.0,0.0,0.0,0.0,12.0,43.18,6.0,3.0,42
2.0,2.0,0.0,8.44,0.0,0.0,0.0,0.0,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.66,4.0,15.0,26
3.0,3.0,0.0,0.0,0.0,5.07,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,12.0,19.130000000000003,6.0,12.0,42
5.0,4.0,0.0,4.84,0.0,0.0,3.28,6.78,0.0,0.0,10.06,0.0,6.52,0.0,0.0,0.0,0.0,12.0,31.48,0.0,18.0,26
5.0,1.0,0.0,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56,0.0,13.0,80.72,0.0,11.0,16
1.0,2.0,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.48,5.0,16.0,26
2.0,2.0,0.0,0.0,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.06,5.0,4.0,42
